title,viewCount,subscriberCount,videoCount,retrievedAt
Abebe Belew,26082280,140000,980,2022-12-29 22:34:55 UTC
Adebabay Media,12166946,93500,875,2022-12-29 22:34:55 UTC
Andafta,253762965,866000,5702,2022-12-29 22:34:55 UTC
Ashara Media - አሻራ ሚዲያ,1846962,28700,494,2022-12-29 22:34:55 UTC
EMS (Ethiopian Media Services),34081555,207000,687,2022-12-29 22:34:55 UTC
ESATtv Ethiopia,194791022,637000,8552,2022-12-29 22:34:55 UTC
ETHIO 251 MEDIA,9342912,87400,810,2022-12-29 22:34:55 UTC
Ethio 360 Media,201589204,525000,3690,2022-12-29 22:34:55 UTC
Ethio News - ኢትዮ ኒውስ,24361630,152000,1252,2022-12-29 22:34:55 UTC
Feta Daily News,131556722,548000,821,2022-12-29 22:34:55 UTC
Mengizem Media ምንጊዜም ሚዲያ,3030557,27700,1068,2022-12-29 22:34:55 UTC
Reyot,37587608,177000,1955,2022-12-29 22:34:55 UTC
ዓባይ ዜና - Abbay News,15355078,324000,995,2022-12-29 22:34:55 UTC
Abebe Belew,26108997,140000,981,2022-12-30 23:35:50 UTC
Adebabay Media,12177186,93500,875,2022-12-30 23:35:50 UTC
Andafta,253951588,866000,5707,2022-12-30 23:35:50 UTC
Ashara Media - አሻራ ሚዲያ,1857188,28800,497,2022-12-30 23:35:50 UTC
EMS (Ethiopian Media Services),34233162,207000,691,2022-12-30 23:35:50 UTC
ESATtv Ethiopia,194906424,637000,8558,2022-12-30 23:35:50 UTC
ETHIO 251 MEDIA,9379685,88900,811,2022-12-30 23:35:50 UTC
Ethio 360 Media,201901413,526000,3695,2022-12-30 23:35:50 UTC
Ethio News - ኢትዮ ኒውስ,24430340,152000,1254,2022-12-30 23:35:50 UTC
Feta Daily News,131819003,548000,823,2022-12-30 23:35:50 UTC
GEBEYANU,10129586,107000,594,2022-12-30 23:35:50 UTC
Mager Media - ማገር,1079307,21500,290,2022-12-30 23:35:50 UTC
Mengizem Media ምንጊዜም ሚዲያ,3038399,27800,1071,2022-12-30 23:35:50 UTC
OMN,103776813,488000,9065,2022-12-30 23:35:50 UTC
Reyot,37678140,177000,1956,2022-12-30 23:35:50 UTC
Tigrai Media House,150651474,346000,5143,2022-12-30 23:35:50 UTC
ዓባይ ዜና - Abbay News,15387872,324000,998,2022-12-30 23:35:50 UTC
Abebe Belew,26194814,141000,982,2023-01-01 23:17:23 UTC
Adebabay Media,12182872,93500,875,2023-01-01 23:17:23 UTC
Andafta,254354079,866000,5713,2023-01-01 23:17:23 UTC
Ashara Media - አሻራ ሚዲያ,1877818,28900,500,2023-01-01 23:17:23 UTC
EMS (Ethiopian Media Services),34558833,208000,698,2023-01-01 23:17:23 UTC
ESATtv Ethiopia,195138625,637000,8566,2023-01-01 23:17:23 UTC
ETHIO 251 MEDIA,9564068,90200,813,2023-01-01 23:17:23 UTC
Ethio 360 Media,202572435,527000,3698,2023-01-01 23:17:23 UTC
Ethio News - ኢትዮ ኒውስ,24529809,153000,1255,2023-01-01 23:17:23 UTC
Feta Daily News,132251872,549000,826,2023-01-01 23:17:23 UTC
GEBEYANU,10135245,107000,594,2023-01-01 23:17:23 UTC
Mager Media - ማገር,1082456,21500,291,2023-01-01 23:17:23 UTC
Mengizem Media ምንጊዜም ሚዲያ,3054166,27800,1077,2023-01-01 23:17:23 UTC
OMN,103915469,489000,9074,2023-01-01 23:17:23 UTC
Reyot,37836974,178000,1957,2023-01-01 23:17:23 UTC
Terara Network,3378898,44000,276,2023-01-01 23:17:23 UTC
Tigrai Media House,150768590,346000,5146,2023-01-01 23:17:23 UTC
ዓባይ ዜና - Abbay News,15431189,324000,1001,2023-01-01 23:17:23 UTC
Abebe Belew,26219198,141000,983,2023-01-02 23:12:34 UTC
Adebabay Media,12185104,93600,876,2023-01-02 23:12:34 UTC
Andafta,254481791,867000,5717,2023-01-02 23:12:34 UTC
Ashara Media - አሻራ ሚዲያ,1884426,29000,503,2023-01-02 23:12:34 UTC
EMS (Ethiopian Media Services),34641895,208000,704,2023-01-02 23:12:34 UTC
ESATtv Ethiopia,195222374,638000,8576,2023-01-02 23:12:34 UTC
ETHIO 251 MEDIA,9607188,91400,815,2023-01-02 23:12:34 UTC
Ethio 360 Media,202835723,528000,3703,2023-01-02 23:12:34 UTC
Ethio News - ኢትዮ ኒውስ,24541358,153000,1255,2023-01-02 23:12:34 UTC
Feta Daily News,132410159,549000,828,2023-01-02 23:12:34 UTC
GEBEYANU,10137366,107000,594,2023-01-02 23:12:34 UTC
Mager Media - ማገር,1084398,21500,291,2023-01-02 23:12:34 UTC
Mengizem Media ምንጊዜም ሚዲያ,3066349,28000,1081,2023-01-02 23:12:34 UTC
OMN,103972807,489000,9087,2023-01-02 23:12:34 UTC
Reyot,37876200,178000,1958,2023-01-02 23:12:34 UTC
Terara Network,3379479,44100,276,2023-01-02 23:12:34 UTC
Tigrai Media House,150802763,346000,5152,2023-01-02 23:12:34 UTC
ዓባይ ዜና - Abbay News,15452296,325000,1003,2023-01-02 23:12:34 UTC
Abebe Belew,26261501,141000,984,2023-01-03 23:50:54 UTC
Adebabay Media,12185518,93700,877,2023-01-03 23:50:54 UTC
Andafta,254714028,867000,5721,2023-01-03 23:50:54 UTC
Ashara Media - አሻራ ሚዲያ,1892753,29100,506,2023-01-03 23:50:54 UTC
EMS (Ethiopian Media Services),34734563,208000,709,2023-01-03 23:50:54 UTC
ESATtv Ethiopia,195320474,638000,8581,2023-01-03 23:50:54 UTC
ETHIO 251 MEDIA,9635648,92000,816,2023-01-03 23:50:54 UTC
Ethio 360 Media,203099558,529000,3707,2023-01-03 23:50:54 UTC
Ethio News - ኢትዮ ኒውስ,24571330,153000,1257,2023-01-03 23:50:54 UTC
Feta Daily News,132649175,550000,831,2023-01-03 23:50:54 UTC
GEBEYANU,10139126,107000,594,2023-01-03 23:50:54 UTC
Mager Media - ማገር,1086266,21500,291,2023-01-03 23:50:54 UTC
