title,viewCount,subscriberCount,videoCount,retrievedAt
ESATtv Ethiopia,195455335,638000,8586,2023-01-05T00:08:50Z
ETHIO 251 MEDIA,9801157,92200,817,2023-01-05T00:08:50Z
Andafta,254838882,867000,5726,2023-01-05T00:08:50Z
Terara Network,3379880,44100,276,2023-01-05T00:08:50Z
Ethio 360 Media,203573921,529000,3710,2023-01-05T00:08:50Z
Reyot,38008154,178000,1961,2023-01-05T00:08:50Z
Ethio News - ኢትዮ ኒውስ,24616482,153000,1258,2023-01-05T00:08:50Z
ዓባይ ዜና - Abbay News,15493258,325000,1007,2023-01-05T00:08:50Z
OMN,104112772,489000,9099,2023-01-05T00:08:50Z
Feta Daily News,132853275,550000,832,2023-01-05T00:08:50Z
Abebe Belew,26269978,141000,984,2023-01-05T00:08:50Z
Adebabay Media,12202105,93700,877,2023-01-05T00:08:50Z
Mengizem Media ምንጊዜም ሚዲያ,3080024,28100,1085,2023-01-05T00:08:50Z
Mager Media - ማገር,1085775,21500,292,2023-01-05T00:08:50Z
EMS (Ethiopian Media Services),34973047,209000,714,2023-01-05T00:08:50Z
Ethio News - ኢትዮ ኒውስ,24678866,154000,1259,2023-01-06T00:08:36Z
ETHIO 251 MEDIA,9856308,93100,818,2023-01-06T00:08:36Z
Tigrai Media House,150941076,346000,5163,2023-01-06T00:08:36Z
Feta Daily News,133057360,551000,834,2023-01-06T00:08:36Z
OMN,104170703,490000,9104,2023-01-06T00:08:36Z
GEBEYANU,10143498,107000,594,2023-01-06T00:08:36Z
Reyot,38057628,178000,1962,2023-01-06T00:08:36Z
ዓባይ ዜና - Abbay News,15515134,325000,1010,2023-01-06T00:08:36Z
Ethio 360 Media,203905824,530000,3715,2023-01-06T00:08:36Z
Andafta,254988219,867000,5729,2023-01-06T00:08:36Z
Mager Media - ማገር,1086625,21600,293,2023-01-06T00:08:36Z
ESATtv Ethiopia,195573175,639000,8593,2023-01-06T00:08:36Z
EMS (Ethiopian Media Services),35123894,209000,720,2023-01-06T00:08:36Z
Terara Network,3379996,44200,276,2023-01-06T00:08:36Z
Mengizem Media ምንጊዜም ሚዲያ,3085926,28100,1088,2023-01-06T00:08:36Z
Ashara Media - አሻራ ሚዲያ,1913269,29200,509,2023-01-06T00:08:36Z
Adebabay Media,12207174,93700,878,2023-01-06T00:08:36Z
Abebe Belew,26305959,141000,985,2023-01-06T00:08:36Z
Adebabay Media,12212406,93700,878,2023-01-07T00:08:38Z
Abebe Belew,26324968,141000,985,2023-01-07T00:08:38Z
Ashara Media - አሻራ ሚዲያ,1923373,29300,511,2023-01-07T00:08:38Z
Terara Network,3379932,44700,276,2023-01-07T00:08:38Z
Mengizem Media ምንጊዜም ሚዲያ,3094656,28200,1090,2023-01-07T00:08:38Z
EMS (Ethiopian Media Services),35301451,209000,722,2023-01-07T00:08:38Z
ESATtv Ethiopia,195678619,639000,8600,2023-01-07T00:08:38Z
Ethio 360 Media,204289450,531000,3718,2023-01-07T00:08:38Z
Andafta,255189097,868000,5733,2023-01-07T00:08:38Z
Reyot,38117416,178000,1963,2023-01-07T00:08:38Z
ዓባይ ዜና - Abbay News,15544676,325000,1013,2023-01-07T00:08:38Z
GEBEYANU,10145439,107000,594,2023-01-07T00:08:38Z
Mager Media - ማገር,1090682,21600,293,2023-01-07T00:08:38Z
Feta Daily News,133312307,551000,836,2023-01-07T00:08:38Z
OMN,104239090,490000,9112,2023-01-07T00:08:38Z
Tigrai Media House,150976228,346000,5165,2023-01-07T00:08:38Z
ETHIO 251 MEDIA,9944996,93600,820,2023-01-07T00:08:38Z
Ethio News - ኢትዮ ኒውስ,24763140,154000,1260,2023-01-07T00:08:38Z
Mengizem Media ምንጊዜም ሚዲያ,3101526,28200,1091,2023-01-08T00:09:16Z
Andafta,255410468,868000,5734,2023-01-08T00:09:16Z
Tigrai Media House,151006747,346000,5169,2023-01-08T00:09:16Z
EMS (Ethiopian Media Services),35445295,209000,727,2023-01-08T00:09:16Z
Reyot,38166115,179000,1964,2023-01-08T00:09:16Z
Adebabay Media,12214557,93700,878,2023-01-08T00:09:16Z
Mager Media - ማገር,1093546,21600,293,2023-01-08T00:09:16Z
Feta Daily News,133562311,551000,837,2023-01-08T00:09:16Z
OMN,104294292,490000,9119,2023-01-08T00:09:16Z
Terara Network,3381614,44900,276,2023-01-08T00:09:16Z
ETHIO 251 MEDIA,10027994,93800,820,2023-01-08T00:09:16Z
Ashara Media - አሻራ ሚዲያ,1932724,29400,514,2023-01-08T00:09:16Z
ESATtv Ethiopia,195788352,640000,8603,2023-01-08T00:09:16Z
GEBEYANU,10147034,107000,594,2023-01-08T00:09:16Z
Ethio News - ኢትዮ ኒውስ,24832447,154000,1260,2023-01-08T00:09:16Z
Ethio 360 Media,204599011,531000,3719,2023-01-08T00:09:16Z
Abebe Belew,26373005,141000,985,2023-01-08T00:09:16Z
ዓባይ ዜና - Abbay News,15569859,325000,1013,2023-01-08T00:09:16Z
ETHIO 251 MEDIA ,10054009,94000,820,2023-01-08 23:04:36 UTC
GEBEYANU,10148869,107000,594,2023-01-08 23:04:36 UTC
ዓባይ ዜና - Abbay News,15579264,325000,1013,2023-01-08 23:04:36 UTC
