id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCxIn6j4tH1dVnqLd1WFvFNA,Abebe Belew,37612181,172000,1155,2023-08-01 23:04:50 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,2647851,21500,268,2023-08-01 23:04:50 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,13526422,100000,952,2023-08-01 23:04:50 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,8590245,51000,1317,2023-08-01 23:04:50 UTC
UCgIxJwBNuGzDKrBaZhATDug,Anchor Ethiopia ,23745711,135000,505,2023-08-01 23:04:50 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,282627868,896000,6417,2023-08-01 23:04:50 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,690581,16400,90,2023-08-01 23:04:50 UTC
UCPmgFzP2ZPmdGjHxXjigJaw,Ashara Media - አሻራ ሚዲያ,5925871,48400,985,2023-08-01 23:04:50 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),53777871,230000,1458,2023-08-01 23:04:50 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,202973449,650000,9420,2023-08-01 23:04:50 UTC
UCUOJQ0kAEqms79eY37hH-Jg,ETHIO 251 MEDIA ,16398619,119000,1001,2023-08-01 23:04:50 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,34359077,172000,1676,2023-08-01 23:04:50 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,41024453,228000,1759,2023-08-01 23:04:50 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,168578011,605000,1209,2023-08-01 23:04:50 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,10867115,113000,709,2023-08-01 23:04:50 UTC
UC-jwtt0RVJPNidr2Ja1_7yQ,MENELIK TELEVISION 3,1479038,12600,358,2023-08-01 23:04:50 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,1729959,28300,383,2023-08-01 23:04:50 UTC
