id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,16648234,78700,1178,2024-10-01 23:05:10 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,65746547,497000,23966,2024-10-01 23:05:10 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14727295,108000,1044,2024-10-01 23:05:10 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9620581,56100,1719,2024-10-01 23:05:10 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,323509541,1010000,7972,2024-10-01 23:05:10 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,748832,17400,90,2024-10-01 23:05:10 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,549624,20700,274,2024-10-01 23:05:10 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,61611979,581000,974,2024-10-01 23:05:10 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,6043810,102000,51,2024-10-01 23:05:10 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,500092747,2630000,1727,2024-10-01 23:05:10 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,525232492,1630000,70575,2024-10-01 23:05:10 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),102130034,394000,2791,2024-10-01 23:05:10 UTC
UC5_7TzCp7YndNhVLo9top9A,ESAN TV,4079493,48400,161,2024-10-01 23:05:10 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,215209448,713000,11674,2024-10-01 23:05:10 UTC
UCuJQBlbbVB-3pZKLDxDI4HA,EVN for Ethiopia,3054180,46300,242,2024-10-01 23:05:10 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,362808183,896000,2268,2024-10-01 23:05:10 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,39499454,198000,1836,2024-10-01 23:05:10 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio News_ኢትዮ ኒውስ ቻናል 2,10382197,81900,340,2024-10-01 23:05:10 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam,3332135,66900,145,2024-10-01 23:05:10 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,44926435,271000,1931,2024-10-01 23:05:10 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,445076485,1530000,46986,2024-10-01 23:05:10 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,264579156,877000,1983,2024-10-01 23:05:10 UTC
