id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,24054916,99400,1586,2025-05-01 23:05:51 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,75055802,556000,24984,2025-05-01 23:05:51 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14927599,109000,1081,2025-05-01 23:05:51 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9645854,56400,1719,2025-05-01 23:05:51 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,338401862,1060000,8573,2025-05-01 23:05:51 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,931087,21100,90,2025-05-01 23:05:51 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,1366462,59700,521,2025-05-01 23:05:51 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,66576699,635000,1046,2025-05-01 23:05:51 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,9043432,150000,72,2025-05-01 23:05:51 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,559646255,2910000,1855,2025-05-01 23:05:51 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,563690077,1810000,76055,2025-05-01 23:05:51 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),125819807,467000,3491,2025-05-01 23:05:51 UTC
UC5_7TzCp7YndNhVLo9top9A,ESAN TV,5741073,59100,293,2025-05-01 23:05:51 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,218546608,739000,12548,2025-05-01 23:05:51 UTC
UCuJQBlbbVB-3pZKLDxDI4HA,EVNmedia,2614833,45800,197,2025-05-01 23:05:51 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio Focus _ኢትዮ ፎ.ኒውስ ,10192991,106000,357,2025-05-01 23:05:51 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,490115535,1110000,2839,2025-05-01 23:05:51 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,58819252,306000,2140,2025-05-01 23:05:51 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam_ኢትዮ ሰላም,5443764,95700,314,2025-05-01 23:05:51 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,45500198,297000,1959,2025-05-01 23:05:51 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,477511954,1670000,52711,2025-05-01 23:05:51 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,310739267,989000,2373,2025-05-01 23:05:51 UTC
UCsNubCFfRG-jcQcWF9owGTw,Finote Godana,184990,9350,29,2025-05-01 23:05:51 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,14716695,146000,863,2025-05-01 23:05:51 UTC
UCkOxp2i-ltA9jj0uSamcFWQ,Gugut Podcast,5427019,48500,267,2025-05-01 23:05:51 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,6286664,69700,304,2025-05-01 23:05:51 UTC
UCzKNuQ80qNSpt2x-7dsazJg,MERI PODCAST,12176634,159000,145,2025-05-01 23:05:51 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2341121,34500,450,2025-05-01 23:05:51 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,10103815,81800,3072,2025-05-01 23:05:51 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,161109286,820000,13558,2025-05-01 23:05:51 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,81623485,354000,2691,2025-05-01 23:05:51 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,78749557,318000,2720,2025-05-01 23:05:51 UTC
UCR9FW-7YPXYQE4U6UkuXM4A,TELES NEWS -ጠለስ ኒውስ,5837948,64800,239,2025-05-01 23:05:51 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3821330,54200,285,2025-05-01 23:05:51 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,162932776,386000,6743,2025-05-01 23:05:51 UTC
UC5OePohJjdkd0Uwm3r1cThA,VOA Amharic,17114378,197000,7887,2025-05-01 23:05:51 UTC
UCQwdCM4dBMgxPh0UZa8PIow,Wazema Radio,5039649,60400,1922,2025-05-01 23:05:51 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,839481,141000,0,2025-05-01 23:05:51 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1613510549,3040000,31078,2025-05-01 23:05:51 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,41712491,517000,2391,2025-05-01 23:05:51 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,24066367,99500,1588,2025-05-02 23:05:36 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,75068109,556000,24985,2025-05-02 23:05:36 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14932379,109000,1080,2025-05-02 23:05:36 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9645916,56400,1719,2025-05-02 23:05:36 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,338442555,1060000,8576,2025-05-02 23:05:36 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,931156,21100,90,2025-05-02 23:05:36 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,1370169,60000,522,2025-05-02 23:05:36 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,66594334,635000,1047,2025-05-02 23:05:36 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,9051122,150000,72,2025-05-02 23:05:36 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,559821839,2910000,1856,2025-05-02 23:05:36 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,563809746,1810000,76092,2025-05-02 23:05:36 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),125858673,467000,3494,2025-05-02 23:05:36 UTC
UC5_7TzCp7YndNhVLo9top9A,ESAN TV,5749560,59200,294,2025-05-02 23:05:36 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,218550469,739000,12552,2025-05-02 23:05:36 UTC
UCuJQBlbbVB-3pZKLDxDI4HA,EVNmedia,2614850,45800,197,2025-05-02 23:05:36 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio Focus _ኢትዮ ፎ.ኒውስ ,10235260,106000,358,2025-05-02 23:05:36 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,490264269,1110000,2842,2025-05-02 23:05:36 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,58828242,306000,2141,2025-05-02 23:05:36 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam_ኢትዮ ሰላም,5451619,95700,316,2025-05-02 23:05:36 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,45503413,297000,1959,2025-05-02 23:05:36 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,477613108,1670000,52741,2025-05-02 23:05:36 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,310844634,990000,2375,2025-05-02 23:05:36 UTC
UCsNubCFfRG-jcQcWF9owGTw,Finote Godana,184992,9340,29,2025-05-02 23:05:36 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,14717090,146000,863,2025-05-02 23:05:36 UTC
UCkOxp2i-ltA9jj0uSamcFWQ,Gugut Podcast,5428991,48600,267,2025-05-02 23:05:36 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,6288149,69800,306,2025-05-02 23:05:36 UTC
UCzKNuQ80qNSpt2x-7dsazJg,MERI PODCAST,12196014,159000,145,2025-05-02 23:05:36 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2341188,34500,450,2025-05-02 23:05:36 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,10107017,81800,3074,2025-05-02 23:05:36 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,161147680,820000,13563,2025-05-02 23:05:36 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,81633414,354000,2693,2025-05-02 23:05:36 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,78782539,318000,2723,2025-05-02 23:05:36 UTC
UCR9FW-7YPXYQE4U6UkuXM4A,TELES NEWS -ጠለስ ኒውስ,5844725,64800,239,2025-05-02 23:05:36 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3821354,54200,285,2025-05-02 23:05:36 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,162934140,386000,6744,2025-05-02 23:05:36 UTC
UC5OePohJjdkd0Uwm3r1cThA,VOA Amharic,17116093,197000,7888,2025-05-02 23:05:36 UTC
UCQwdCM4dBMgxPh0UZa8PIow,Wazema Radio,5040032,60400,1924,2025-05-02 23:05:36 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,839481,141000,0,2025-05-02 23:05:36 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1614141776,3040000,31085,2025-05-02 23:05:36 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,41737357,517000,2393,2025-05-02 23:05:36 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,24109093,99500,1590,2025-05-03 23:05:18 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,75080992,556000,24985,2025-05-03 23:05:18 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14933004,109000,1081,2025-05-03 23:05:18 UTC
