id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,8650157,50000,756,2024-03-01 23:04:45 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,48704738,387000,20704,2024-03-01 23:04:45 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14570604,107000,1035,2024-03-01 23:04:45 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9525430,55300,1689,2024-03-01 23:04:45 UTC
UCgIxJwBNuGzDKrBaZhATDug,Anchor Ethiopia ,59984089,272000,720,2024-03-01 23:04:45 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,303641761,943000,7252,2024-03-01 23:04:45 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,704254,16400,90,2024-03-01 23:04:45 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,485561139,1390000,66901,2024-03-01 23:04:45 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),72442030,291000,2040,2024-03-01 23:04:45 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,210165747,681000,10573,2024-03-01 23:04:45 UTC
UCuJQBlbbVB-3pZKLDxDI4HA,EVN for Ethiopia,2959180,46300,236,2024-03-01 23:04:45 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,39034987,189000,1836,2024-03-01 23:04:45 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,43376192,252000,1895,2024-03-01 23:04:45 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,405666715,1360000,40703,2024-03-01 23:04:45 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,214035430,726000,1597,2024-03-01 23:04:45 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,13247434,132000,773,2024-03-01 23:04:45 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,2369248,36200,147,2024-03-01 23:04:45 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2295290,34200,450,2024-03-01 23:04:45 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,6171012,46600,2134,2024-03-01 23:04:45 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,133197931,630000,11657,2024-03-01 23:04:45 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,61708778,241000,2510,2024-03-01 23:04:45 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,29434987,169000,1740,2024-03-01 23:04:45 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3717070,53000,285,2024-03-01 23:04:45 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,159717075,365000,6171,2024-03-01 23:04:45 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1207968014,2330000,23648,2024-03-01 23:04:45 UTC
UCoVL5YOr2KdnYNspQf3s5uw,ኢትዮ መረጃ  Ethio mereja,179704,67700,7,2024-03-01 23:04:45 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,30337771,420000,1749,2024-03-01 23:04:45 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,8697803,50200,758,2024-03-02 23:05:20 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,48811805,388000,20721,2024-03-02 23:05:20 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14571337,107000,1035,2024-03-02 23:05:20 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9526953,55300,1691,2024-03-02 23:05:20 UTC
