id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,38220414,127000,2273,2026-05-01 23:21:38 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,15368191,111000,1176,2026-05-01 23:21:38 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9690701,56800,1719,2026-05-01 23:21:38 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,366006812,1160000,9580,2026-05-01 23:21:38 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,943397,21100,90,2026-05-01 23:21:38 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,7307748,159000,1149,2026-05-01 23:21:38 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,71901605,685000,1240,2026-05-01 23:21:38 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,14081370,203000,102,2026-05-01 23:21:38 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,649638427,3240000,2158,2026-05-01 23:21:38 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,645532286,2110000,84598,2026-05-01 23:21:38 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),160982824,557000,4445,2026-05-01 23:21:38 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,220604416,758000,13856,2026-05-01 23:21:38 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio Focus _ኢትዮ ፎከስ,30788495,159000,948,2026-05-01 23:21:38 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,691517025,1420000,3775,2026-05-01 23:21:38 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,87112631,377000,2725,2026-05-01 23:21:38 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam_ኢትዮ ሰላም,9719166,112000,982,2026-05-01 23:21:38 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,49776322,334000,1975,2026-05-01 23:21:38 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,Fana Entertainment ,81617109,612000,25551,2026-05-01 23:21:38 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,538228818,1900000,62322,2026-05-01 23:21:38 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,373140717,1130000,3046,2026-05-01 23:21:38 UTC
UCsNubCFfRG-jcQcWF9owGTw,Finote Godana,185766,9130,29,2026-05-01 23:21:38 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,16417748,169000,927,2026-05-01 23:21:38 UTC
UCkOxp2i-ltA9jj0uSamcFWQ,Gugut Podcast,5684973,52200,269,2026-05-01 23:21:38 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,9140717,87400,463,2026-05-01 23:21:38 UTC
UCzKNuQ80qNSpt2x-7dsazJg,MERI PODCAST,16270011,217000,185,2026-05-01 23:21:38 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2489876,36300,450,2026-05-01 23:21:38 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,12969108,100000,3733,2026-05-01 23:21:38 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,177552438,941000,14450,2026-05-01 23:21:38 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,95252387,414000,2858,2026-05-01 23:21:38 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,112760616,412000,3596,2026-05-01 23:21:38 UTC
UCR9FW-7YPXYQE4U6UkuXM4A,TELES NEWS -ጠለስ ኒውስ,12317140,83800,525,2026-05-01 23:21:38 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3828889,53700,285,2026-05-01 23:21:38 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,163629310,389000,6888,2026-05-01 23:21:38 UTC
UC5OePohJjdkd0Uwm3r1cThA,VOA Amharic,17508110,206000,8177,2026-05-01 23:21:38 UTC
UCQwdCM4dBMgxPh0UZa8PIow,Wazema Radio,3268811,66200,1292,2026-05-01 23:21:38 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,839481,140000,0,2026-05-01 23:21:38 UTC
UCVcc_sbg3AcXLV9vVufJrGg,ebstv worldwide,1945985778,3520000,37345,2026-05-01 23:21:38 UTC
UC6bam4pQbuUgXnmyEFlSpNA,ዓባይ ዜና - Abbay News,53893759,618000,2896,2026-05-01 23:21:38 UTC
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,38252188,127000,2275,2026-05-02 23:19:14 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,15375014,111000,1176,2026-05-02 23:19:14 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9690747,56800,1719,2026-05-02 23:19:14 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,366120873,1160000,9584,2026-05-02 23:19:14 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,943406,21100,90,2026-05-02 23:19:14 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,7316922,159000,1150,2026-05-02 23:19:14 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,71911539,685000,1241,2026-05-02 23:19:14 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,14117341,203000,102,2026-05-02 23:19:14 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,649805782,3240000,2160,2026-05-02 23:19:14 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,645823808,2110000,84621,2026-05-02 23:19:14 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),161144687,557000,4448,2026-05-02 23:19:14 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,220610577,758000,13858,2026-05-02 23:19:14 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio Focus _ኢትዮ ፎከስ,30832154,160000,949,2026-05-02 23:19:14 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,691992557,1420000,3777,2026-05-02 23:19:14 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,87180136,377000,2727,2026-05-02 23:19:14 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam_ኢትዮ ሰላም,9727436,112000,984,2026-05-02 23:19:14 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,49782892,334000,1975,2026-05-02 23:19:14 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,Fana Entertainment ,81634266,613000,25552,2026-05-02 23:19:14 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,538426451,1900000,62354,2026-05-02 23:19:14 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,373268827,1130000,3048,2026-05-02 23:19:14 UTC
UCsNubCFfRG-jcQcWF9owGTw,Finote Godana,185766,9130,29,2026-05-02 23:19:14 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,16419339,169000,927,2026-05-02 23:19:14 UTC
UCkOxp2i-ltA9jj0uSamcFWQ,Gugut Podcast,5685272,52200,269,2026-05-02 23:19:14 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,9150303,87400,464,2026-05-02 23:19:14 UTC
UCzKNuQ80qNSpt2x-7dsazJg,MERI PODCAST,16277771,217000,185,2026-05-02 23:19:14 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2491061,36300,450,2026-05-02 23:19:14 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,12973073,100000,3734,2026-05-02 23:19:14 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,177585593,942000,14455,2026-05-02 23:19:14 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,95353498,414000,2858,2026-05-02 23:19:14 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,112823470,412000,3598,2026-05-02 23:19:14 UTC
UCR9FW-7YPXYQE4U6UkuXM4A,TELES NEWS -ጠለስ ኒውስ,12331282,83800,526,2026-05-02 23:19:14 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3828899,53700,285,2026-05-02 23:19:14 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,163630710,389000,6888,2026-05-02 23:19:14 UTC
UC5OePohJjdkd0Uwm3r1cThA,VOA Amharic,17508937,206000,8177,2026-05-02 23:19:14 UTC
UCQwdCM4dBMgxPh0UZa8PIow,Wazema Radio,3268868,66200,1292,2026-05-02 23:19:14 UTC
UCJ61rOk0c0b0COn0qOOo1aQ,Zara Media Network - ዛራ,839481,140000,0,2026-05-02 23:19:14 UTC
