title,viewCount,subscriberCount,videoCount,retrievedAt
ETHIO 251 MEDIA ,10909927,99700,844,2023-02-04 23:04:35 UTC
Ethio 360 Media,213538099,556000,3816,2023-02-04 23:04:35 UTC
Ethio News - ኢትዮ ኒውስ,25941550,158000,1303,2023-02-04 23:04:35 UTC
Feta Daily News,139026934,566000,887,2023-02-04 23:04:35 UTC
GEBEYANU,10186346,107000,595,2023-02-04 23:04:35 UTC
Mager Media - ማገር ,1134485,22100,301,2023-02-04 23:04:35 UTC
Mengizem Media ምንጊዜም ሚዲያ,3327834,29700,1163,2023-02-04 23:04:35 UTC
OMN,106417570,500000,9301,2023-02-04 23:04:35 UTC
Reyot,40050733,184000,1995,2023-02-04 23:04:35 UTC
Roha ,8709122,82200,826,2023-02-04 23:04:35 UTC
Terara Network,3386312,45200,276,2023-02-04 23:04:35 UTC
Tigrai Media House,152599557,349000,5264,2023-02-04 23:04:35 UTC
ኢትዮ ሰላም  Ethio Selam,2363065,33400,94,2023-02-04 23:04:35 UTC
ዓባይ ዜና - Abbay News,16340824,330000,1063,2023-02-04 23:04:35 UTC
Abebe Belew,27586446,147000,1010,2023-02-05 23:04:51 UTC
Adebabay Media,12569953,96400,896,2023-02-05 23:04:51 UTC
Alpha Media አልፋ ሚዲያ,4738218,38300,879,2023-02-05 23:04:51 UTC
Andafta,261545748,880000,5823,2023-02-05 23:04:51 UTC
Arat Kilo Media አራት ኪሎ ሚዲያ ,326706,12300,38,2023-02-05 23:04:51 UTC
Ashara Media - አሻራ ሚዲያ,2164770,31400,592,2023-02-05 23:04:51 UTC
EMS (Ethiopian Media Services),38972573,217000,827,2023-02-05 23:04:51 UTC
ETHIO 251 MEDIA ,10926346,99800,844,2023-02-05 23:04:51 UTC
Ethio 360 Media,213998248,559000,3817,2023-02-05 23:04:51 UTC
Ethio News - ኢትዮ ኒውስ,25990978,158000,1303,2023-02-05 23:04:51 UTC
Feta Daily News,139329379,567000,888,2023-02-05 23:04:51 UTC
GEBEYANU,10187493,107000,595,2023-02-05 23:04:51 UTC
Mager Media - ማገር ,1136725,22100,301,2023-02-05 23:04:51 UTC
Mengizem Media ምንጊዜም ሚዲያ,3333980,29800,1165,2023-02-05 23:04:51 UTC
OMN,106525882,500000,9308,2023-02-05 23:04:51 UTC
Reyot,40121724,184000,1995,2023-02-05 23:04:51 UTC
Roha ,8895097,83200,827,2023-02-05 23:04:51 UTC
Terara Network,3386420,45200,276,2023-02-05 23:04:51 UTC
Tigrai Media House,152663293,349000,5267,2023-02-05 23:04:51 UTC
ኢትዮ ሰላም  Ethio Selam,2382903,33500,94,2023-02-05 23:04:51 UTC
