id,snippet.title,statistics.viewCount,statistics.subscriberCount,statistics.videoCount,retrievedAt
UCwUJ_Zli745ZoImP4IljpYg,Addis Compass Media / ACM / አዲስ  ኮምፓስ  ሚዲያ,15692301,75400,1120,2024-09-01 23:04:43 UTC
UC4yEV6VBe0Emu8sMpyij0uQ,AddisWalta - AW,63716592,483000,23570,2024-09-01 23:04:43 UTC
UC-kDmfnktrzc_SGpS9ulrXw,Adebabay Media,14686286,107000,1036,2024-09-01 23:04:43 UTC
UCUyDe7EvbwwDRjyjUFU5Zhw,Alpha Media አልፋ ሚዲያ,9617089,56000,1719,2024-09-01 23:04:43 UTC
UCwMHDoJO6cHO6LN1BItFsPQ,Andafta,320706831,1000000,7877,2024-09-01 23:04:43 UTC
UCK71ZGx5VYTWw2XQ0F_O0nQ,Arat Kilo Media አራት ኪሎ ሚዲያ ,725958,16800,90,2024-09-01 23:04:43 UTC
UC3-RNH75BEZslJLEoIAxa2A,DW Amharic,388473,14400,261,2024-09-01 23:04:43 UTC
UCb3euYUGSY7REtF8NDsMLsA,Dawit Dreams,60549586,571000,959,2024-09-01 23:04:43 UTC
UCdQ-5b2xJiCWgxinWo4NX7w,Dejaf TV,5929566,100000,51,2024-09-01 23:04:43 UTC
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,490311007,2560000,1714,2024-09-01 23:04:43 UTC
UCOhrz3uRCOHmK6ueUstw7_Q,EBC,514505809,1530000,69939,2024-09-01 23:04:43 UTC
UCCJbY4YdJIUk7Lygrkg5IRA,EMS (Ethiopian Media Services),98354699,382000,2684,2024-09-01 23:04:43 UTC
UC5_7TzCp7YndNhVLo9top9A,ESAN TV,3699053,46300,134,2024-09-01 23:04:43 UTC
UCSYM-vgRrMYsZbG-Z7Kz0Pw,ESATtv Ethiopia,214312767,705000,11517,2024-09-01 23:04:43 UTC
UCuJQBlbbVB-3pZKLDxDI4HA,EVN for Ethiopia,3053212,46400,242,2024-09-01 23:04:43 UTC
UCXUFyN9Ys5tiIHgJFQKRJvA,Ethio Forum ኢትዮ ፎረም,346012654,863000,2187,2024-09-01 23:04:43 UTC
UCelbYFUaQW3eb9sg3004ZGw,Ethio News - ኢትዮ ኒውስ,39336511,195000,1836,2024-09-01 23:04:43 UTC
UC_m5g0TeOmYTPb535BLWd9Q,Ethio News_ኢትዮ ኒውስ ቻናል 2,9010591,76200,300,2024-09-01 23:04:43 UTC
UCoVL5YOr2KdnYNspQf3s5uw,Ethio Selam,3309084,67000,142,2024-09-01 23:04:43 UTC
UCCk2vUhB0SyQhA6JXyjXHEg,EthioTube,44596394,267000,1928,2024-09-01 23:04:43 UTC
UCZtXd8pSeqURf5MT2fqE51g,Fana Television,440878754,1500000,46429,2024-09-01 23:04:43 UTC
UCgBnBckSLo6-uAiejtnEycQ,Feta Daily News,257347249,853000,1929,2024-09-01 23:04:43 UTC
UCsNubCFfRG-jcQcWF9owGTw,Finote Godana,162972,8930,25,2024-09-01 23:04:43 UTC
UCb9fEB6StrknyRiSSzQ7H0A,GEBEYANU,14093247,140000,823,2024-09-01 23:04:43 UTC
UCnLwoa0AWoSgbb-7dM_j0OQ,Ghion TV Multimedia,6436162,85300,273,2024-09-01 23:04:43 UTC
UCkOxp2i-ltA9jj0uSamcFWQ,Gugut Podcast,4754520,39600,239,2024-09-01 23:04:43 UTC
UCNgwbT7BCcppLG3zDm9f5UA,Horizon Free Media    ሆራይዝን ነፃ ሚዲያ,3775309,51200,206,2024-09-01 23:04:43 UTC
UCzKNuQ80qNSpt2x-7dsazJg,MERI PODCAST,9027813,104000,176,2024-09-01 23:04:43 UTC
UCilWrw2C8_VkFZ2tE5eKpdQ,Mager Media - ማገር ,2319531,34300,450,2024-09-01 23:04:43 UTC
UCZvMKrP8XmP9GAHMloucOaA,Mengizem Media ምንጊዜም ሚዲያ,8410950,71400,2575,2024-09-01 23:04:43 UTC
UCmAnzjcjIgtWuE6AnBCViTg,OMN,145123102,697000,12641,2024-09-01 23:04:43 UTC
UCPVr1rrKl8pXVFi-rrqzS1g,Reyot,69922055,277000,2626,2024-09-01 23:04:43 UTC
UCDXU7RuIQc0xRKJyP0ZTZaQ,Roha ,52235248,250000,2153,2024-09-01 23:04:43 UTC
UCR9FW-7YPXYQE4U6UkuXM4A,TELES NEWS -ጠለስ ኒውስ,572038,21200,57,2024-09-01 23:04:43 UTC
UC_f89AbX5NPU77YaoaSKRSg,Terara Network,3773717,53400,285,2024-09-01 23:04:43 UTC
UCBvvcSYeDriczyImdI1qZWw,Tigrai Media House,161714382,378000,6475,2024-09-01 23:04:43 UTC
